id,year,y,dt,d2
1,1987,-2.996,0,0
1,1988,-2.526,0,1
2,1987,-1.966,0,0
2,1988,-1.833,0,1
3,1987,2.303,1,0
3,1988,1.099,1,1
4,1987,0,1,0
4,1988,0,1,1
5,1987,1.792,1,0
5,1988,1.609,1,1
6,1987,0.693,0,0
6,1988,0.693,0,1
7,1987,-0.799,1,0
7,1988,-0.693,1,1
8,1987,0.223,1,0
8,1988,0.432,1,1
9,1987,0.262,1,0
9,1988,0.405,1,1
10,1987,0.058,1,0
10,1988,-0.223,1,1
11,1987,1.099,1,0
11,1988,0.693,1,1
12,1987,2.102,1,0
12,1988,-0.4,1,1
13,1987,0.513,1,0
13,1988,0.157,1,1
14,1987,-0.02,1,0
14,1988,-0.673,1,1
15,1987,0,1,0
15,1988,-0.693,1,1
16,1987,-0.799,1,0
16,1988,-0.494,1,1
17,1987,2.079,1,0
17,1988,1.386,1,1
18,1987,2.197,1,0
18,1988,1.946,1,1
19,1987,-4.605,0,0
19,1988,-2.207,0,1
20,1987,2.89,1,0
20,1988,2.944,1,1
21,1987,-1.273,1,0
21,1988,-1.609,1,1
22,1987,1.946,1,0
22,1988,1.609,1,1
23,1987,0.693,0,0
23,1988,0.693,0,1
24,1987,1.379,1,0
24,1988,1.343,1,1
25,1987,0.329,0,0
25,1988,0.148,0,1
26,1987,3.02,0,0
26,1988,3.178,0,1
27,1987,0.405,0,0
27,1988,0.344,0,1
28,1987,-1.609,0,0
28,1988,-1.171,0,1
29,1987,0,0,0
29,1988,-0.163,0,1
30,1987,-0.693,0,0
30,1988,-0.528,0,1
31,1987,1.609,0,0
31,1988,1.386,0,1
32,1987,0.693,0,0
32,1988,0,0,1
33,1987,0.997,0,0
33,1988,0.419,0,1
34,1987,-0.431,0,0
34,1988,-0.598,0,1
35,1987,2.398,0,0
35,1988,2.079,0,1
36,1987,0.811,0,0
36,1988,0.916,0,1
37,1987,1.609,0,0
37,1988,1.569,0,1
38,1987,0.513,0,0
38,1988,0.916,0,1
39,1987,0.993,0,0
39,1988,0.952,0,1
40,1987,2.996,0,0
40,1988,3.219,0,1
