store,state,time,fulltime,hours,register
46,0,0,40.5,16.5,3
49,0,0,13.75,13,4
506,0,0,8.5,10,3
56,0,0,34,12,2
61,0,0,24,12,2
62,0,0,20.5,12,2
445,0,0,70.5,18,3
451,0,0,23.5,24,6
455,0,0,11,10,2
458,0,0,9,10,4
462,0,0,15.5,12.5,4
468,0,0,58,18,4
469,0,0,26.5,18,3
470,0,0,28.5,18,3
474,0,0,13.5,12.5,3
481,0,0,16.75,10,5
483,0,0,9.5,10,4
487,0,0,15,11.5,6
488,0,0,29.5,16,5
489,0,0,18.5,14,4
490,0,0,20.25,16,4
493,0,0,36,16,6
495,0,0,21,15,3
496,0,0,20.5,16,5
499,0,0,19,12,2
509,0,0,14,16,6
515,0,0,19,16,5
37,0,0,32.5,16.5,5
39,0,0,19,17.5,4
40,0,0,27,16.5,3
41,0,0,19.5,16.5,3
42,0,0,24,16.5,3
45,0,0,18,16,3
47,0,0,,17,3
48,0,0,19,14,4
50,0,0,14,12,4
51,0,0,10.5,13,4
57,0,0,38,12,2
58,0,0,23.5,12,2
59,0,0,10.5,10.5,2
60,0,0,25,11.5,2
408,0,0,11,10,4
430,0,0,36.5,15,3
432,0,0,52.5,16,4
433,0,0,29,16,3
434,0,0,45,16,3
435,0,0,22.75,15.5,3
438,0,0,7.5,8,2
440,0,0,15.5,11.5,2
441,0,0,38,11.5,2
443,0,0,17.5,11.5,2
444,0,0,25,12.5,2
446,0,0,,18,
448,0,0,21,18,3
449,0,0,15.5,18,4
450,0,0,15.5,16.5,3
454,0,0,8.5,10,4
459,0,0,18,16,5
466,0,0,20.75,11.5,2
471,0,0,39,18,2
472,0,0,41.5,16.5,3
473,0,0,22.5,17,3
475,0,0,32,15,3
476,0,0,24,18,3
477,0,0,26,16.5,3
478,0,0,48.5,19,3
485,0,0,8.5,10,4
491,0,0,18.5,13,3
492,0,0,13,12.5,2
497,0,0,22.5,12,2
498,0,0,28,12,2
501,0,0,24.5,16.5,3
503,0,0,18.5,16.5,3
510,0,0,23.5,16,3
511,0,0,15,16.5,4
514,0,0,18,16,5
516,0,0,20.25,16,4
521,0,0,15.5,16.5,4
522,0,0,21,16,3
113,1,0,15,16,4
123,1,0,15,14.5,2
135,1,0,24,12.5,5
138,1,0,19.25,11.5,6
153,1,0,21.5,17,4
181,1,0,9.5,11,3
191,1,0,44,12,
