myoutcomenext,diff_share
0,0.0614882
0,-0.0614882
1,0.1048695
0,-0.1048695
0,-0.535721
0,0.1644641
0,-0.1644641
0,-0.578422
1,0.0793608
0,-0.0793608
0,0.1392521
0,-0.1392521
0,0.0736019
0,-0.0736019
0,-0.5303795
1,0.0868215
0,-0.0868215
1,0.1691602
0,-0.1691602
1,0.1555924
0,-0.1555924
0,-0.5689324
1,0.3993583
0,-0.3993583
1,0.1680772
0,-0.1680772
0,-0.572782
0,0.2515626
0,-0.2515626
0,-0.6214946
1,0.0064238
0,-0.0064238
0,-0.4554552
1,0.1502741
0,-0.1502741
0,-0.5569934
1,0.2675027
0,-0.2675027
0,-0.6125554
1,0.1527547
0,-0.1527547
0,-0.5650717
0,-0.5660316
1,0.2023913
0,-0.2023913
0,-0.5841128
0,0.2608236
0,-0.2608236
1,0.3692601
0,-0.3692601
0,-0.6746601
1,0.2378197
0,-0.2378197
0,-0.6139529
1,0.4879997
0,-0.4879997
0,-0.7376559
1,0.5448855
0,-0.5448855
1,0.4280589
0,-0.4280589
1,0.3651706
0,-0.3651706
0,-0.6484995
1,0.4858052
0,-0.4858052
0,-0.7158655
0,0.4859995
0,-0.4859995
0,-0.7256944
0,-0.7301102
,0.1664824
,-0.1664824
,-0.5750844
0,0.1058371
1,-0.1058371
0,0.0329448
0,-0.0329448
0,0.0164412
0,-0.0164412
1,0.1097101
0,-0.1097101
1,0.01378
0,-0.01378
0,0.1809827
0,-0.1809827
0,0.065782
1,-0.065782
0,0.0024322
1,-0.0024322
0,0.016045
0,-0.016045
0,0.2653162
0,-0.2653162
0,0.1300805
0,-0.1300805
0,-0.5562721
0,0.0870581
0,-0.0870581
0,-0.5345433
1,0.0651264
0,-0.0651264
0,0.3187746
0,-0.3187746
1,0.1981237
0,-0.1981237
0,-0.5725783
1,0.3098311
0,-0.3098311
0,-0.6422129
0,0.3984448
0,-0.3984448
1,0.0674883
0,-0.0674883
1,0.1227145
0,-0.1227145
0,-0.5503358
1,0.0919637
0,-0.0919637
0,-0.5392525
1,0.3476909
0,-0.3476909
1,0.2723633
