year,cons,einv,hinv,ex,im,y,yw,exr,rl,lend,sp
1996,251352.9,68674.3,28132.6,37605.7,55609,450650,31847.244,108.779,2.225,533270.6,19361.35
1997,253143.3,71446.3,24858,41762,55802.5,455501.3,31770.279,120.991,1.6875,533293,15258.74
1998,251076.3,70614.5,21538.1,40739.5,52059,450359.8,31615.564,130.905,1.09667,508342.3,13842.17
1999,253589.1,67182.5,21560.9,41532.8,53936,449225,32723.336,113.907,1.77083,478412,18934.34
2000,258051.6,71495.4,21572.8,46824.3,58934.1,461711.4,33819.98,107.765,1.7475,460464.6,13785.69
2001,262978.9,71469.3,20615.6,43683.4,59540.6,463587.1,33567.756,121.529,1.32958,440638.5,10542.62
2002,266158.4,67302.1,19986.3,47075.3,59949.7,464134.6,34698.823,125.388,1.25,419652.9,8578.95
2003,267688.3,68896.2,19720.1,51554.9,61985.9,471227.7,38981.876,115.933,1.01167,398020.3,10676.64
2004,271170.6,71515.5,20056.8,58913.8,67019.5,481617,43884.473,108.193,1.49917,385149.7,11488.76
2005,274494.5,77623,19956.6,63137.4,71107.7,489625.1,47532.866,110.218,1.35958,383856.8,16111.43
2006,277242.7,79247.8,20103.9,69649.6,74454.8,496577.7,51457.554,116.299,1.73125,390598.9,17225.83
2007,279975.7,80067.1,18184.3,75689.7,76081.3,504792.5,58052.026,117.754,1.65292,391128.3,15307.78
2008,277127.5,77799.4,16986.8,76868.9,76611.4,499272.7,63650.736,103.359,1.44917,407076.4,8859.56
2009,274942.6,67359.8,14196.2,58861,64621.4,472226.5,60279.113,93.5701,1.3425,402152,10546.44
2010,281344.7,66736.5,13673.6,73523.6,71841.5,492023.6,65899.808,87.7799,1.15083,393844.5,10228.92
2011,279649.7,69406.5,14337.9,73342.7,76011.1,491455.5,73083.777,79.807,1.11833,395772.8,8455.35
2012,284932.9,72227.3,14698,73277.8,80123,498802.9,74437.722,79.7905,0.839167,401146.7,10395.18
2013,291646.2,74892.8,15877.2,73835.6,82745.9,508781.4,76458.184,97.5957,0.700417,411293.7,16291.31
2014,289410.1,78762.9,15202.2,80695.2,89587.3,510489.2,78519.556,105.945,0.52625,422560.7,17450.77
2015,288097.2,79644.3,14959.3,83070.8,90265.5,516162.8,74196.846,121.04,0.35,431888.9,19033.71
2016,288956.6,80697.2,15793.7,84047.7,88196.3,521487.7,75278.049,108.79,-0.07,443257.7,19114.37
